WHO_REGION,ISO_3_CODE,country,epiweek,new_hospitalization,new_icu,iso_year,iso_week_number
WPRO,NZL,NEW ZEALAND,2024-12-16,109,5,2024,51
AMRO,USA,UNITED STATES OF AMERICA,2024-12-16,931,,2024,51
WPRO,NZL,NEW ZEALAND,2024-12-23,122,6,2024,52
AMRO,USA,UNITED STATES OF AMERICA,2024-12-23,1206,,2024,52
WPRO,NZL,NEW ZEALAND,2024-12-30,82,4,2024,1
AMRO,USA,UNITED STATES OF AMERICA,2024-12-30,1450,,2024,1
WPRO,NZL,NEW ZEALAND,2025-01-06,111,4,2025,2
AMRO,USA,UNITED STATES OF AMERICA,2025-01-06,1242,,2025,2
WPRO,NZL,NEW ZEALAND,2025-01-13,70,3,2025,3
AMRO,USA,UNITED STATES OF AMERICA,2025-01-13,1090,,2025,3
WPRO,NZL,NEW ZEALAND,2025-01-20,64,2,2025,4
AMRO,USA,UNITED STATES OF AMERICA,2025-01-20,1014,,2025,4
WPRO,NZL,NEW ZEALAND,2025-01-27,52,1,2025,5
AMRO,USA,UNITED STATES OF AMERICA,2025-01-27,1010,,2025,5
WPRO,NZL,NEW ZEALAND,2025-02-03,61,2,2025,6
AMRO,USA,UNITED STATES OF AMERICA,2025-02-03,970,,2025,6
WPRO,NZL,NEW ZEALAND,2025-02-10,56,5,2025,7
AMRO,USA,UNITED STATES OF AMERICA,2025-02-10,956,,2025,7
WPRO,NZL,NEW ZEALAND,2025-02-17,55,1,2025,8
AMRO,USA,UNITED STATES OF AMERICA,2025-02-17,806,,2025,8
WPRO,NZL,NEW ZEALAND,2025-02-24,47,0,2025,9
AMRO,USA,UNITED STATES OF AMERICA,2025-02-24,736,,2025,9
WPRO,NZL,NEW ZEALAND,2025-03-03,48,2,2025,10
AMRO,USA,UNITED STATES OF AMERICA,2025-03-03,698,,2025,10
WPRO,NZL,NEW ZEALAND,2025-03-10,45,2,2025,11
AMRO,USA,UNITED STATES OF AMERICA,2025-03-10,730,,2025,11
WPRO,NZL,NEW ZEALAND,2025-03-17,48,0,2025,12
AMRO,USA,UNITED STATES OF AMERICA,2025-03-17,651,,2025,12
WPRO,NZL,NEW ZEALAND,2025-03-24,37,2,2025,13
AMRO,USA,UNITED STATES OF AMERICA,2025-03-24,625,,2025,13
WPRO,NZL,NEW ZEALAND,2025-03-31,30,1,2025,14
AMRO,USA,UNITED STATES OF AMERICA,2025-03-31,568,,2025,14
WPRO,NZL,NEW ZEALAND,2025-04-07,38,3,2025,15
AMRO,USA,UNITED STATES OF AMERICA,2025-04-07,502,,2025,15
WPRO,NZL,NEW ZEALAND,2025-04-14,29,1,2025,16
AMRO,USA,UNITED STATES OF AMERICA,2025-04-14,455,,2025,16
WPRO,NZL,NEW ZEALAND,2025-04-21,33,2,2025,17
AMRO,USA,UNITED STATES OF AMERICA,2025-04-21,444,,2025,17
WPRO,NZL,NEW ZEALAND,2025-04-28,41,4,2025,18
AMRO,USA,UNITED STATES OF AMERICA,2025-04-28,371,,2025,18
WPRO,NZL,NEW ZEALAND,2025-05-05,47,3,2025,19
