areaType,areaName,areaCode,date,covidOccupiedMVBeds
overview,United Kingdom,K02000001,2021-02-22,2273
overview,United Kingdom,K02000001,2021-02-21,2329
overview,United Kingdom,K02000001,2021-02-20,2358
overview,United Kingdom,K02000001,2021-02-19,2469
overview,United Kingdom,K02000001,2021-02-18,2535
overview,United Kingdom,K02000001,2021-02-17,2614
overview,United Kingdom,K02000001,2021-02-16,2708
overview,United Kingdom,K02000001,2021-02-15,2805
overview,United Kingdom,K02000001,2021-02-14,2851
overview,United Kingdom,K02000001,2021-02-13,2842
overview,United Kingdom,K02000001,2021-02-12,2943
overview,United Kingdom,K02000001,2021-02-11,3036
overview,United Kingdom,K02000001,2021-02-10,3132
overview,United Kingdom,K02000001,2021-02-09,3164
overview,United Kingdom,K02000001,2021-02-08,3230
overview,United Kingdom,K02000001,2021-02-07,3302
overview,United Kingdom,K02000001,2021-02-06,3373
overview,United Kingdom,K02000001,2021-02-05,3505
overview,United Kingdom,K02000001,2021-02-04,3572
overview,United Kingdom,K02000001,2021-02-03,3628
overview,United Kingdom,K02000001,2021-02-02,3635
overview,United Kingdom,K02000001,2021-02-01,3726
overview,United Kingdom,K02000001,2021-01-31,3687
overview,United Kingdom,K02000001,2021-01-30,3806
overview,United Kingdom,K02000001,2021-01-29,3832
overview,United Kingdom,K02000001,2021-01-28,3918
overview,United Kingdom,K02000001,2021-01-27,3937
overview,United Kingdom,K02000001,2021-01-26,3961
overview,United Kingdom,K02000001,2021-01-25,4032
overview,United Kingdom,K02000001,2021-01-24,4077
overview,United Kingdom,K02000001,2021-01-23,4066
overview,United Kingdom,K02000001,2021-01-22,4076
overview,United Kingdom,K02000001,2021-01-21,3960
overview,United Kingdom,K02000001,2021-01-20,3953
overview,United Kingdom,K02000001,2021-01-19,3947
overview,United Kingdom,K02000001,2021-01-18,3916
overview,United Kingdom,K02000001,2021-01-17,3871
overview,United Kingdom,K02000001,2021-01-16,3854
overview,United Kingdom,K02000001,2021-01-15,3789
overview,United Kingdom,K02000001,2021-01-14,3672
overview,United Kingdom,K02000001,2021-01-13,3626
overview,United Kingdom,K02000001,2021-01-12,3496
overview,United Kingdom,K02000001,2021-01-11,3363
overview,United Kingdom,K02000001,2021-01-10,3264
overview,United Kingdom,K02000001,2021-01-09,3145
overview,United Kingdom,K02000001,2021-01-08,3098
overview,United Kingdom,K02000001,2021-01-07,2929
overview,United Kingdom,K02000001,2021-01-06,2821
overview,United Kingdom,K02000001,2021-01-05,2645
overview,United Kingdom,K02000001,2021-01-04,2560
overview,United Kingdom,K02000001,2021-01-03,2420
overview,United Kingdom,K02000001,2021-01-02,2256
overview,United Kingdom,K02000001,2021-01-01,2162
overview,United Kingdom,K02000001,2020-12-31,2122
overview,United Kingdom,K02000001,2020-12-30,2066
overview,United Kingdom,K02000001,2020-12-29,1939
overview,United Kingdom,K02000001,2020-12-28,1847
overview,United Kingdom,K02000001,2020-12-27,1751
overview,United Kingdom,K02000001,2020-12-26,1682
overview,United Kingdom,K02000001,2020-12-25,1616
overview,United Kingdom,K02000001,2020-12-24,1607
overview,United Kingdom,K02000001,2020-12-23,1554
overview,United Kingdom,K02000001,2020-12-22,1529
overview,United Kingdom,K02000001,2020-12-21,1512
overview,United Kingdom,K02000001,2020-12-20,1442
overview,United Kingdom,K02000001,2020-12-19,1412
overview,United Kingdom,K02000001,2020-12-18,1364
overview,United Kingdom,K02000001,2020-12-17,1366
overview,United Kingdom,K02000001,2020-12-16,1340
overview,United Kingdom,K02000001,2020-12-15,1326
overview,United Kingdom,K02000001,2020-12-14,1288
overview,United Kingdom,K02000001,2020-12-13,1281
overview,United Kingdom,K02000001,2020-12-12,1243
overview,United Kingdom,K02000001,2020-12-11,1275
overview,United Kingdom,K02000001,2020-12-10,1267
overview,United Kingdom,K02000001,2020-12-09,1243
overview,United Kingdom,K02000001,2020-12-08,1272
overview,United Kingdom,K02000001,2020-12-07,1271
overview,United Kingdom,K02000001,2020-12-06,1249
overview,United Kingdom,K02000001,2020-12-05,1247
overview,United Kingdom,K02000001,2020-12-04,1274
overview,United Kingdom,K02000001,2020-12-03,1261
overview,United Kingdom,K02000001,2020-12-02,1315
overview,United Kingdom,K02000001,2020-12-01,1351
overview,United Kingdom,K02000001,2020-11-30,1357
overview,United Kingdom,K02000001,2020-11-29,1387
overview,United Kingdom,K02000001,2020-11-28,1378
overview,United Kingdom,K02000001,2020-11-27,1417
overview,United Kingdom,K02000001,2020-11-26,1456
overview,United Kingdom,K02000001,2020-11-25,1480
overview,United Kingdom,K02000001,2020-11-24,1489
overview,United Kingdom,K02000001,2020-11-23,1487
overview,United Kingdom,K02000001,2020-11-22,1454
overview,United Kingdom,K02000001,2020-11-21,1447
overview,United Kingdom,K02000001,2020-11-20,1422
overview,United Kingdom,K02000001,2020-11-19,1426
overview,United Kingdom,K02000001,2020-11-18,1430
overview,United Kingdom,K02000001,2020-11-17,1420
overview,United Kingdom,K02000001,2020-11-16,1391
overview,United Kingdom,K02000001,2020-11-15,1397
overview,United Kingdom,K02000001,2020-11-14,1365
overview,United Kingdom,K02000001,2020-11-13,1355
overview,United Kingdom,K02000001,2020-11-12,1275
overview,United Kingdom,K02000001,2020-11-11,1268
overview,United Kingdom,K02000001,2020-11-10,1219
overview,United Kingdom,K02000001,2020-11-09,1271
overview,United Kingdom,K02000001,2020-11-08,1232
overview,United Kingdom,K02000001,2020-11-07,1207
overview,United Kingdom,K02000001,2020-11-06,1187
overview,United Kingdom,K02000001,2020-11-05,1183
overview,United Kingdom,K02000001,2020-11-04,1193
overview,United Kingdom,K02000001,2020-11-03,1144
overview,United Kingdom,K02000001,2020-11-02,1075
overview,United Kingdom,K02000001,2020-11-01,979
overview,United Kingdom,K02000001,2020-10-31,1003
overview,United Kingdom,K02000001,2020-10-30,979
